card_variant_id,candidate_market_product_pk,has_price_via_overlay,notes,mpr_market_price,mpr_mid_price,mpr_low_price,mpr_high_price,mpr_direct_low_price,mpr_listed_median_price,captured_at,subtype_name,source_name,mpr_row_id
4626,3814,1,at_least_one_price_column_non_null,0.24,0.25,0.02,5.0,,,2026-04-02 03:06:19,Foil,tcgcsv,3641
4646,3824,1,at_least_one_price_column_non_null,13.49,15.14,11.68,99.99,,,2026-04-02 03:06:19,Foil,tcgcsv,3651
4657,4432,1,at_least_one_price_column_non_null,32.46,36.7,29.99,150.0,,,2026-04-02 03:06:20,Foil,tcgcsv,4259
4662,5241,1,at_least_one_price_column_non_null,174.34,180.0,165.0,295.0,,,2026-04-02 03:06:21,Foil,tcgcsv,5099
4663,3831,1,at_least_one_price_column_non_null,1.75,2.0,0.2,7.77,,,2026-04-02 03:06:19,Foil,tcgcsv,3658
4669,3834,1,at_least_one_price_column_non_null,4.27,5.0,3.0,40.0,,,2026-04-02 03:06:19,Foil,tcgcsv,3661
4679,3839,1,at_least_one_price_column_non_null,26.2,29.38,25.97,100.0,,,2026-04-02 03:06:19,Foil,tcgcsv,3666
4683,3841,1,at_least_one_price_column_non_null,27.41,29.95,24.99,50.0,,,2026-04-02 03:06:19,Foil,tcgcsv,3668
4707,3852,1,at_least_one_price_column_non_null,33.8,36.58,30.0,92.78,,,2026-04-02 03:06:19,Foil,tcgcsv,3679
4714,4263,1,at_least_one_price_column_non_null,0.04,0.1,0.01,4.99,,,2026-04-02 03:06:20,Normal,tcgcsv,4090
4728,3861,1,at_least_one_price_column_non_null,3.53,4.07,2.0,48.0,,,2026-04-02 03:06:19,Foil,tcgcsv,3688
4733,3863,1,at_least_one_price_column_non_null,0.15,0.15,0.01,1.6,,,2026-04-02 03:06:19,Normal,tcgcsv,3690
4734,3863,1,at_least_one_price_column_non_null,0.15,0.15,0.01,1.6,,,2026-04-02 03:06:19,Normal,tcgcsv,3690
4735,3863,1,at_least_one_price_column_non_null,0.15,0.15,0.01,1.6,,,2026-04-02 03:06:19,Normal,tcgcsv,3690
4743,3866,1,at_least_one_price_column_non_null,0.16,0.2,0.01,5.0,,,2026-04-02 03:06:19,Foil,tcgcsv,3693
4754,3871,1,at_least_one_price_column_non_null,28.03,37.0,26.98,149.99,,,2026-04-02 03:06:19,Foil,tcgcsv,3698
4773,3879,1,at_least_one_price_column_non_null,0.17,0.18,0.03,2.0,,,2026-04-02 03:06:19,Normal,tcgcsv,3706
4774,3879,1,at_least_one_price_column_non_null,0.17,0.18,0.03,2.0,,,2026-04-02 03:06:19,Normal,tcgcsv,3706
4775,3879,1,at_least_one_price_column_non_null,0.17,0.18,0.03,2.0,,,2026-04-02 03:06:19,Normal,tcgcsv,3706
4783,3881,1,at_least_one_price_column_non_null,0.41,0.51,0.09,49.0,,,2026-04-02 03:06:19,Foil,tcgcsv,3708
4790,3884,1,at_least_one_price_column_non_null,10.13,15.0,9.7,99.99,,,2026-04-02 03:06:19,Foil,tcgcsv,3711
4794,3886,1,at_least_one_price_column_non_null,23.86,25.5,20.0,75.0,,,2026-04-02 03:06:19,Foil,tcgcsv,3713
4795,4937,1,at_least_one_price_column_non_null,1.19,1.54,0.59,99.9,,,2026-04-02 03:06:21,Foil,tcgcsv,4794
