card_variant_id,card_canonical_code,card_name,candidate_market_product_pk,candidate_market_product_external_id,match_score,match_reasons,match_confidence,needs_manual_review,cv_variant_key,cv_variant_label,cv_print_id,cv_image_path
4088,OP09-009,Benn.Beckman,3605,596933,117,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;card_name_substring_product;source_tcgcsv,low,1,sp,SP,OP09-009::sp,thumbs/OP09-009(SP).webp
4110,OP09-014,Limejuice,4839,656035,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,low,1,parallel_1,Parallel 1,OP09-014_p1,PRB02/parallel/OP09-014_p1.png
4111,OP09-014,Limejuice,4839,656035,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,low,1,parallel_2,Parallel 2,OP09-014_p2,PRB02/parallel/OP09-014_p2.png
4114,OP09-014,Limejuice,4839,656035,113,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;card_name_substring_product;source_tcgcsv,low,1,r2,R2,OP09-014_r2,PRB02/reprint/OP09-014_r2.png
4130,OP09-020,Come On!! We'll Fight You!!,4691,653833,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,low,1,parallel_2,Parallel 2,OP09-020_p2,OP09/parallel/OP09-020_p2.png
4133,OP09-020,Come On!! We'll Fight You!!,4691,653833,113,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;card_name_substring_product;source_tcgcsv,low,1,r2,R2,OP09-020_r2,PRB02/reprint/OP09-020_r2.png
4138,OP09-022,Lim,3618,596946,91,market_number_eq_canonical_or_extracted;set_code_match;rarity_match;source_tcgcsv,low,1,alt,Alt,OP09-022::alt,thumbs/OP09-022alt.webp
4142,OP09-023,Adio,3620,596948,101,market_number_eq_canonical_or_extracted;set_code_match;rarity_match;card_name_substring_product;source_tcgcsv,low,1,alt,Alt,OP09-023::alt,thumbs/OP09-023Alt.webp
4152,OP09-027,Sabo,4850,656046,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,low,1,parallel_1,Parallel 1,OP09-027_p1,PRB02/parallel/OP09-027_p1.png
4155,OP09-027,Sabo,4850,656046,113,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;card_name_substring_product;source_tcgcsv,low,1,r1,R1,OP09-027_r1,PRB02/reprint/OP09-027_r1.png
4168,OP09-033,Nico Robin,4853,656050,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,low,1,parallel_1,Parallel 1,OP09-033_p1,PRB02/parallel/OP09-033_p1.png
4169,OP09-033,Nico Robin,4853,656050,113,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;card_name_substring_product;source_tcgcsv,low,1,r1,R1,OP09-033_r1,PRB02/reprint/OP09-033_r1.png
4172,OP09-034,Perona,3632,596960,101,market_number_eq_canonical_or_extracted;set_code_match;rarity_match;card_name_substring_product;source_tcgcsv,low,1,alt,Alt,OP09-034::alt,thumbs/OP09-034alt.webp
4182,OP09-037,Lim,3636,596964,79,market_number_eq_canonical_or_extracted;set_code_match;source_tcgcsv,low,1,alt,Alt,OP09-037::alt,thumbs/OP09-037alt.webp
4185,OP09-037,Lim,3637,596965,95,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;source_tcgcsv,low,1,sp,SP,OP09-037::sp,thumbs/OP09-037(SP).webp
4196,OP09-042,Buggy,3642,596970,101,market_number_eq_canonical_or_extracted;set_code_match;rarity_match;card_name_substring_product;source_tcgcsv,low,1,alt,Alt,OP09-042::alt,thumbs/OP09-042alt.webp
4198,OP09-042,Buggy,4215,633944,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,low,1,parallel_2,Parallel 2,OP09-042_p2,ST25/parallel/OP09-042_p2.png
4212,OP09-046,Crocodile,3647,596975,101,market_number_eq_canonical_or_extracted;set_code_match;rarity_match;card_name_substring_product;source_tcgcsv,low,1,alt,Alt,OP09-046::alt,thumbs/OP09-046alt.webp
4219,OP09-048,Dracule Mihawk,3650,596978,101,market_number_eq_canonical_or_extracted;set_code_match;rarity_match;card_name_substring_product;source_tcgcsv,low,1,alt,Alt,OP09-048::alt,thumbs/OP09-048alt.webp
4226,OP09-050,Nami,3653,596981,101,market_number_eq_canonical_or_extracted;set_code_match;rarity_match;card_name_substring_product;source_tcgcsv,low,1,alt,Alt,OP09-050::alt,thumbs/OP09-050alt.webp
4231,OP09-051,Buggy,3655,596983,89,market_number_eq_canonical_or_extracted;set_code_match;card_name_substring_product;source_tcgcsv,low,1,mr,M Anga Alt,OP09-051::m anga alt,thumbs/OP09-051Manga alt.webp
4232,OP09-051,Buggy,3655,596983,89,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,low,1,parallel_1,Parallel 1,OP09-051_p1,OP09/parallel/OP09-051_p1.png
4233,OP09-051,Buggy,3655,596983,89,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,low,1,parallel_2,Parallel 2,OP09-051_p2,OP09/parallel/OP09-051_p2.png
4234,OP09-051,Buggy,3655,596983,89,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,low,1,parallel_3,Parallel 3,OP09-051_p3,OP09/parallel/OP09-051_p3.png
4235,OP09-051,Buggy,5239,671453,89,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,low,1,parallel_4,Parallel 4,OP09-051_p4,EB04/parallel/OP09-051_p4.png
4236,OP09-051,Buggy,5239,671453,89,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,low,1,parallel_5,Parallel 5,OP09-051_p5,EB04/parallel/OP09-051_p5.png
4252,OP09-056,Mr.3(Galdino),4711,654097,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,low,1,parallel_1,Parallel 1,OP09-056_p1,PRB02/parallel/OP09-056_p1.png
4255,OP09-056,Mr.3(Galdino),4711,654097,113,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;card_name_substring_product;source_tcgcsv,low,1,r2,R2,OP09-056_r2,PRB02/reprint/OP09-056_r2.png
4258,OP09-057,Cross Guild,4692,653834,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,low,1,parallel_2,Parallel 2,OP09-057_p2,OP09/parallel/OP09-057_p2.png
4261,OP09-057,Cross Guild,4692,653834,113,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;card_name_substring_product;source_tcgcsv,low,1,r2,R2,OP09-057_r2,PRB02/reprint/OP09-057_r2.png
4270,OP09-061,Monkey.D.Luffy,3668,596996,101,market_number_eq_canonical_or_extracted;set_code_match;rarity_match;card_name_substring_product;source_tcgcsv,low,1,alt,Alt,OP09-061::alt,thumbs/OP09-061alt.webp
4273,OP09-061,Monkey.D.Luffy,3668,596996,113,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;card_name_substring_product;source_tcgcsv,low,1,alt,St26,OP09-061::st26,thumbs/OP09-061(ST26).webp
4276,OP09-062,Nico Robin,3670,596998,101,market_number_eq_canonical_or_extracted;set_code_match;rarity_match;card_name_substring_product;source_tcgcsv,low,1,alt,Alt,OP09-062::alt,thumbs/OP09-062alt.webp
4285,OP09-065,Sanji,3674,597002,101,market_number_eq_canonical_or_extracted;set_code_match;rarity_match;card_name_substring_product;source_tcgcsv,low,1,alt,Alt,OP09-065::alt,thumbs/OP09-065alt.webp
4297,OP09-069,Trafalgar Law,3679,597007,101,market_number_eq_canonical_or_extracted;set_code_match;rarity_match;card_name_substring_product;source_tcgcsv,low,1,alt,Alt,OP09-069::alt,thumbs/OP09-069alt.webp
4298,OP09-069,Trafalgar Law,3679,597007,101,market_number_eq_canonical_or_extracted;set_code_match;rarity_match;card_name_substring_product;source_tcgcsv,low,1,alt,Alt Art 2,OP09-069::alt art 2,thumbs/OP09-069alt2.webp
4310,OP09-072,Franky,3683,597011,101,market_number_eq_canonical_or_extracted;set_code_match;rarity_match;card_name_substring_product;source_tcgcsv,low,1,alt,Alt,OP09-072::alt,thumbs/OP09-072alt.webp
4322,OP09-076,Roronoa Zoro,4713,654099,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,low,1,parallel_2,Parallel 2,OP09-076_p2,PRB02/parallel/OP09-076_p2.png
4325,OP09-076,Roronoa Zoro,4713,654099,113,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;card_name_substring_product;source_tcgcsv,low,1,r2,R2,OP09-076_r2,PRB02/reprint/OP09-076_r2.png
4328,OP09-077,Gum-Gum Lightning,4881,656082,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,low,1,parallel_1,Parallel 1,OP09-077_p1,PRB02/parallel/OP09-077_p1.png
