provenance_folder,card_code,source_url,derived_full_local_path,refresh_status,bytes_written,failure_reason,source_lane,was_protected_skip
ST17,ST03-004,https://en.onepiece-cardgame.com/images/cardlist/card/ST03-004.png,D:\Miru_Assets\ST17\reprint\ST03-004_r1.png,HELD_UNAPPROVED_SOURCE,0,Bandai CDN URL is base-code only; not variant-aware for family=reprint. Fetching would write wrong image.,BANDAI_CDN_BASE_MISMATCH,no
ST03,ST03-005,https://en.onepiece-cardgame.com/images/cardlist/card/ST03-005.png,D:\Miru_Assets\ST03\base\ST03-005.png,SKIPPED_ALREADY_PRESENT,0,,BANDAI_CDN_BASE,no
ST03,ST03-005,https://en.onepiece-cardgame.com/images/cardlist/card/ST03-005.png,D:\Miru_Assets\ST03\alt\ST03-005_alt.png,HELD_UNAPPROVED_SOURCE,0,Bandai CDN URL is base-code only; not variant-aware for family=alt. Fetching would write wrong image.,BANDAI_CDN_BASE_MISMATCH,no
TP04,ST03-005,https://en.onepiece-cardgame.com/images/cardlist/card/ST03-005.png,D:\Miru_Assets\TP04\parallel\ST03-005_p1.png,HELD_UNAPPROVED_SOURCE,0,Bandai CDN URL is base-code only; not variant-aware for family=parallel. Fetching would write wrong image.,BANDAI_CDN_BASE_MISMATCH,no
PRB01,ST03-005,https://en.onepiece-cardgame.com/images/cardlist/card/ST03-005.png,D:\Miru_Assets\PRB01\parallel\ST03-005_p2.png,HELD_UNAPPROVED_SOURCE,0,Bandai CDN URL is base-code only; not variant-aware for family=parallel. Fetching would write wrong image.,BANDAI_CDN_BASE_MISMATCH,no
PRB01,ST03-005,https://en.onepiece-cardgame.com/images/cardlist/card/ST03-005.png,D:\Miru_Assets\PRB01\parallel\ST03-005_p3.png,HELD_UNAPPROVED_SOURCE,0,Bandai CDN URL is base-code only; not variant-aware for family=parallel. Fetching would write wrong image.,BANDAI_CDN_BASE_MISMATCH,no
ST17,ST03-005,https://en.onepiece-cardgame.com/images/cardlist/card/ST03-005.png,D:\Miru_Assets\ST17\reprint\ST03-005_r1.png,HELD_UNAPPROVED_SOURCE,0,Bandai CDN URL is base-code only; not variant-aware for family=reprint. Fetching would write wrong image.,BANDAI_CDN_BASE_MISMATCH,no
PRB01,ST03-005,https://en.onepiece-cardgame.com/images/cardlist/card/ST03-005.png,D:\Miru_Assets\PRB01\reprint\ST03-005_r2.png,HELD_UNAPPROVED_SOURCE,0,Bandai CDN URL is base-code only; not variant-aware for family=reprint. Fetching would write wrong image.,BANDAI_CDN_BASE_MISMATCH,no
ST03,ST03-006,https://en.onepiece-cardgame.com/images/cardlist/card/ST03-006.png,D:\Miru_Assets\ST03\base\ST03-006.png,SKIPPED_ALREADY_PRESENT,0,,BANDAI_CDN_BASE,no
ST03,ST03-007,https://en.onepiece-cardgame.com/images/cardlist/card/ST03-007.png,D:\Miru_Assets\ST03\base\ST03-007.png,SKIPPED_ALREADY_PRESENT,0,,BANDAI_CDN_BASE,no
ST03,ST03-007,https://en.onepiece-cardgame.com/images/cardlist/card/ST03-007.png,D:\Miru_Assets\ST03\alt\ST03-007_alt.png,HELD_UNAPPROVED_SOURCE,0,Bandai CDN URL is base-code only; not variant-aware for family=alt. Fetching would write wrong image.,BANDAI_CDN_BASE_MISMATCH,no
TP03,ST03-007,https://en.onepiece-cardgame.com/images/cardlist/card/ST03-007.png,D:\Miru_Assets\TP03\parallel\ST03-007_p1.png,HELD_UNAPPROVED_SOURCE,0,Bandai CDN URL is base-code only; not variant-aware for family=parallel. Fetching would write wrong image.,BANDAI_CDN_BASE_MISMATCH,no
ST03,ST03-008,https://en.onepiece-cardgame.com/images/cardlist/card/ST03-008.png,D:\Miru_Assets\ST03\base\ST03-008.png,SKIPPED_ALREADY_PRESENT,0,,BANDAI_CDN_BASE,no
ST03,ST03-008,https://en.onepiece-cardgame.com/images/cardlist/card/ST03-008.png,D:\Miru_Assets\ST03\alt\ST03-008_alt.png,HELD_UNAPPROVED_SOURCE,0,Bandai CDN URL is base-code only; not variant-aware for family=alt. Fetching would write wrong image.,BANDAI_CDN_BASE_MISMATCH,no
ST03,ST03-008,https://en.onepiece-cardgame.com/images/cardlist/card/ST03-008.png,D:\Miru_Assets\ST03\alt\ST03-008_alt2.png,HELD_UNAPPROVED_SOURCE,0,Bandai CDN URL is base-code only; not variant-aware for family=alt. Fetching would write wrong image.,BANDAI_CDN_BASE_MISMATCH,no
ST03,ST03-008,https://en.onepiece-cardgame.com/images/cardlist/card/ST03-008.png,D:\Miru_Assets\ST03\alt\ST03-008_alt3.png,HELD_UNAPPROVED_SOURCE,0,Bandai CDN URL is base-code only; not variant-aware for family=alt. Fetching would write wrong image.,BANDAI_CDN_BASE_MISMATCH,no
ST03,ST03-008,https://en.onepiece-cardgame.com/images/cardlist/card/ST03-008.png,D:\Miru_Assets\ST03\alt\ST03-008_alt4.png,HELD_UNAPPROVED_SOURCE,0,Bandai CDN URL is base-code only; not variant-aware for family=alt. Fetching would write wrong image.,BANDAI_CDN_BASE_MISMATCH,no
GC01,ST03-008,https://en.onepiece-cardgame.com/images/cardlist/card/ST03-008.png,D:\Miru_Assets\GC01\parallel\ST03-008_p1.png,HELD_UNAPPROVED_SOURCE,0,Bandai CDN URL is base-code only; not variant-aware for family=parallel. Fetching would write wrong image.,BANDAI_CDN_BASE_MISMATCH,no
EP03,ST03-008,https://en.onepiece-cardgame.com/images/cardlist/card/ST03-008.png,D:\Miru_Assets\EP03\parallel\ST03-008_p2.png,HELD_UNAPPROVED_SOURCE,0,Bandai CDN URL is base-code only; not variant-aware for family=parallel. Fetching would write wrong image.,BANDAI_CDN_BASE_MISMATCH,no
