card_id,card_image_id,set_name,set_id,card_name,rarity,inferred_treatment,inferred_treatment_confidence,card_image_url,local_canonical_code_match,local_variant_match_id,local_image_asset_exists,gap_status,raw_json_path
OP01-051,OP01-051_p2,Pillars of Strength,OP-03,"Eustass""Captain""Kid (Wanted Poster)",SR,parallel,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-051_p2.jpg,yes,946,no,LOCAL_HAS_NO_IMAGE_ASSET,data/api_exploration/optcg_api_op01/OP01-051.json
OP01-051,OP01-051_p4,Premium Booster -The Best-,PRB-01,"Eustass""Captain""Kid (OP01-051) (Alternate Art)",SR,parallel,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-051_p4.jpg,yes,947,no,LOCAL_HAS_NO_IMAGE_ASSET,data/api_exploration/optcg_api_op01/OP01-051.json
OP01-051,OP01-051_r1,Premium Booster -The Best-,PRB-01,"Eustass""Captain""Kid",SR,reprint,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-051_r1.png,yes,949,yes,MATCHED,data/api_exploration/optcg_api_op01/OP01-051.json
OP01-052,OP01-052,Romance Dawn,OP-01,Raizo,UC,base,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-052.jpg,yes,951,yes,MATCHED,data/api_exploration/optcg_api_op01/OP01-052.json
OP01-052,OP01-052_p4,Premium Booster -The Best-,PRB-01,Raizo (Full Art),UC,parallel,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-052_p4.jpg,yes,957,no,LOCAL_HAS_NO_IMAGE_ASSET,data/api_exploration/optcg_api_op01/OP01-052.json
OP01-052,OP01-052_p3,Premium Booster -The Best-,PRB-01,Raizo (Jolly Roger Foil),UC,parallel,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-052_p3.jpg,yes,956,no,LOCAL_HAS_NO_IMAGE_ASSET,data/api_exploration/optcg_api_op01/OP01-052.json
OP01-052,OP01-052_r1,Premium Booster -The Best-,PRB-01,Raizo (Reprint),UC,reprint,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-052_r1.jpg,yes,959,yes,MATCHED,data/api_exploration/optcg_api_op01/OP01-052.json
OP01-053,OP01-053,Romance Dawn,OP-01,Wire,C,base,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-053.jpg,yes,960,yes,MATCHED,data/api_exploration/optcg_api_op01/OP01-053.json
OP01-054,OP01-054,Romance Dawn,OP-01,X.Drake (054),R,base,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-054.jpg,yes,962,yes,MATCHED,data/api_exploration/optcg_api_op01/OP01-054.json
OP01-055,OP01-055,Romance Dawn,OP-01,You Can Be My Samurai!!,C,base,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-055.jpg,yes,964,yes,MATCHED,data/api_exploration/optcg_api_op01/OP01-055.json
OP01-055,OP01-055_p1,Premium Booster -The Best- Vol. 2,PRB-02,You Can Be My Samurai!! (Pirate Foil),C,parallel,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-055_p1.jpg,yes,966,no,LOCAL_HAS_NO_IMAGE_ASSET,data/api_exploration/optcg_api_op01/OP01-055.json
OP01-055,OP01-055_r1,Premium Booster -The Best- Vol. 2,PRB-02,You Can Be My Samurai!! (Reprint),C,reprint,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-055_r1.jpg,yes,967,yes,MATCHED,data/api_exploration/optcg_api_op01/OP01-055.json
OP01-056,OP01-056,Romance Dawn,OP-01,Demon Face,UC,base,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-056.jpg,yes,968,yes,MATCHED,data/api_exploration/optcg_api_op01/OP01-056.json
OP01-057,OP01-057,Romance Dawn,OP-01,Paradise Waterfall,UC,base,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-057.jpg,yes,970,yes,MATCHED,data/api_exploration/optcg_api_op01/OP01-057.json
OP01-058,OP01-058,Romance Dawn,OP-01,Punk Gibson,R,base,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-058.jpg,yes,974,yes,MATCHED,data/api_exploration/optcg_api_op01/OP01-058.json
OP01-059,OP01-059,Romance Dawn,OP-01,BE-BENG!!,C,base,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-059.jpg,yes,976,yes,MATCHED,data/api_exploration/optcg_api_op01/OP01-059.json
OP01-060,OP01-060,Romance Dawn,OP-01,Donquixote Doflamingo (060),L,base,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-060.jpg,yes,978,yes,MATCHED,data/api_exploration/optcg_api_op01/OP01-060.json
OP01-060,OP01-060_p1,Romance Dawn,OP-01,Donquixote Doflamingo (060) (Parallel),L,parallel,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-060_p1.jpg,yes,981,yes,MATCHED,data/api_exploration/optcg_api_op01/OP01-060.json
OP01-061,OP01-061,Romance Dawn,OP-01,Kaido (061),L,base,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-061.jpg,yes,984,yes,MATCHED,data/api_exploration/optcg_api_op01/OP01-061.json
