id,printing_id,market_product_id,mapping_confidence,mapping_method,is_preferred
2710,1498,3315,HIGH,exact_code_plus_base_flag,1
2889,1498,3541,HIGH,exact_code_plus_base_flag,1
212,1517,503,HIGH,exact_code_plus_base_flag,1
558,1521,896,HIGH,exact_code_plus_base_flag,1
669,1521,1017,HIGH,exact_code_plus_base_flag,1
777,1521,1138,HIGH,exact_code_plus_base_flag,1
825,1521,1194,HIGH,exact_code_plus_base_flag,1
2638,1521,3224,HIGH,exact_code_plus_base_flag,1
2764,1521,3386,HIGH,exact_code_plus_base_flag,1
2765,1521,3387,HIGH,exact_code_plus_base_flag,1
2891,1521,3543,HIGH,exact_code_plus_base_flag,1
213,1535,504,HIGH,exact_code_plus_base_flag,1
524,1535,858,HIGH,exact_code_plus_base_flag,1
599,1535,938,HIGH,exact_code_plus_base_flag,1
2639,1535,3225,HIGH,exact_code_plus_base_flag,1
2640,1541,3226,HIGH,exact_code_plus_base_flag,1
2641,1550,3227,HIGH,exact_code_plus_base_flag,1
202,1553,493,HIGH,exact_code_plus_base_flag,1
562,1553,900,HIGH,exact_code_plus_base_flag,1
2711,1553,3316,HIGH,exact_code_plus_base_flag,1
2892,1553,3544,HIGH,exact_code_plus_base_flag,1
201,1560,492,HIGH,exact_code_plus_base_flag,1
2642,1564,3228,HIGH,exact_code_plus_base_flag,1
832,1567,1201,HIGH,exact_code_plus_base_flag,1
2766,1567,3388,HIGH,exact_code_plus_base_flag,1
2857,1567,3509,HIGH,exact_code_plus_base_flag,1
191,1579,482,HIGH,exact_code_plus_base_flag,1
880,1579,1259,HIGH,exact_code_plus_base_flag,1
1872,1579,2389,HIGH,exact_code_plus_base_flag,1
217,1585,508,HIGH,exact_code_plus_base_flag,1
2767,1585,3389,HIGH,exact_code_plus_base_flag,1
2894,1585,3546,HIGH,exact_code_plus_base_flag,1
555,1592,892,HIGH,exact_code_plus_base_flag,1
1502,1592,1994,HIGH,exact_code_plus_base_flag,1
2410,1600,2959,HIGH,exact_code_plus_base_flag,1
2587,1600,3160,HIGH,exact_code_plus_base_flag,1
2666,1600,3259,HIGH,exact_code_plus_base_flag,1
2667,1600,3260,HIGH,exact_code_plus_base_flag,1
2768,1600,3390,HIGH,exact_code_plus_base_flag,1
2896,1600,3548,HIGH,exact_code_plus_base_flag,1
1856,1614,2365,HIGH,exact_code_plus_base_flag,1
2588,1614,3161,HIGH,exact_code_plus_base_flag,1
2589,1618,3162,HIGH,exact_code_plus_base_flag,1
600,1621,939,HIGH,exact_code_plus_base_flag,1
2161,1621,2695,HIGH,exact_code_plus_base_flag,1
4039,1621,4814,HIGH,exact_code_plus_base_flag,1
4040,1621,4815,HIGH,exact_code_plus_base_flag,1
2590,1630,3163,HIGH,exact_code_plus_base_flag,1
589,1637,927,HIGH,exact_code_plus_base_flag,1
731,1637,1083,HIGH,exact_code_plus_base_flag,1
1518,1637,2011,HIGH,exact_code_plus_base_flag,1
601,1648,940,HIGH,exact_code_plus_base_flag,1
1520,1652,2013,HIGH,exact_code_plus_base_flag,1
1504,1660,1996,HIGH,exact_code_plus_base_flag,1
1506,1664,1998,HIGH,exact_code_plus_base_flag,1
1522,1670,2015,HIGH,exact_code_plus_base_flag,1
1524,1674,2017,HIGH,exact_code_plus_base_flag,1
579,1678,917,HIGH,exact_code_plus_base_flag,1
580,1678,918,HIGH,exact_code_plus_base_flag,1
593,1678,931,HIGH,exact_code_plus_base_flag,1
615,1678,954,HIGH,exact_code_plus_base_flag,1
616,1678,955,HIGH,exact_code_plus_base_flag,1
617,1678,956,HIGH,exact_code_plus_base_flag,1
570,1688,908,HIGH,exact_code_plus_base_flag,1
1853,1691,2362,HIGH,exact_code_plus_base_flag,1
736,1694,1090,HIGH,exact_code_plus_base_flag,1
737,1694,1091,HIGH,exact_code_plus_base_flag,1
934,1694,1322,HIGH,exact_code_plus_base_flag,1
1508,1711,2000,HIGH,exact_code_plus_base_flag,1
1526,1715,2019,HIGH,exact_code_plus_base_flag,1
738,1723,1092,HIGH,exact_code_plus_base_flag,1
739,1723,1093,HIGH,exact_code_plus_base_flag,1
935,1723,1323,HIGH,exact_code_plus_base_flag,1
1051,1723,1459,HIGH,exact_code_plus_base_flag,1
4043,1723,4818,HIGH,exact_code_plus_base_flag,1
1528,1736,2021,HIGH,exact_code_plus_base_flag,1
4044,1740,4819,HIGH,exact_code_plus_base_flag,1
4046,1740,4821,HIGH,exact_code_plus_base_flag,1
1854,1746,2363,HIGH,exact_code_plus_base_flag,1
1005,1756,1402,HIGH,exact_code_plus_base_flag,1
2769,1756,3391,HIGH,exact_code_plus_base_flag,1
2858,1756,3510,HIGH,exact_code_plus_base_flag,1
2677,1762,3272,HIGH,exact_code_plus_base_flag,1
