card_code,printing_id,variant_key,is_base,is_sp,is_tr,is_alt,is_manga_rare,is_golden_manga_rare,is_illustration_rare,is_promo,expected_path,discovery_status
OP01-040,903,alt,0,0,0,1,0,0,0,0,OP01/alt/OP01-040_alt.png,FETCH_NEEDED
OP01-041,907,alt,0,0,0,1,0,0,0,0,OP01/alt/OP01-041_alt.png,FETCH_NEEDED
OP01-041,912,alt,0,0,0,1,0,0,0,0,OP01/alt/OP01-041_alt.png,FETCH_NEEDED
OP01-041,914,alt,0,0,0,1,0,0,0,1,OP01/alt/OP01-041_alt.png,FETCH_NEEDED
OP01-041,908,parallel_1,0,0,0,0,0,0,0,0,OP01/parallel/OP01-041_p1.png,FETCH_NEEDED
OP01-041,909,parallel_3,0,0,0,0,0,0,0,0,OP01/parallel/OP01-041_p3.png,FETCH_NEEDED
OP01-041,910,parallel_4,0,0,0,0,0,0,0,0,OP01/parallel/OP01-041_p4.png,FETCH_NEEDED
OP01-041,911,parallel_5,0,0,0,0,0,0,0,0,OP01/parallel/OP01-041_p5.png,FETCH_NEEDED
OP01-041,913,r1,1,0,0,0,0,0,0,0,OP01/base/OP01-041.png,DISK_MATCH_FOUND
OP01-047,927,alt,0,0,0,1,0,0,0,0,OP01/alt/OP01-047_alt.png,FETCH_NEEDED
OP01-047,931,alt,0,0,0,1,0,0,0,0,OP01/alt/OP01-047_alt.png,FETCH_NEEDED
OP01-047,929,parallel_2,0,0,0,0,0,0,0,0,OP01/parallel/OP01-047_p2.png,FETCH_NEEDED
OP01-047,930,parallel_4,0,0,0,0,0,0,0,0,OP01/parallel/OP01-047_p4.png,FETCH_NEEDED
OP01-047,932,r1,1,0,0,0,0,0,0,0,OP01/base/OP01-047.png,DISK_MATCH_FOUND
OP01-047,933,sp,0,1,0,0,0,0,0,0,OP01/sp/OP01-047_sp.png,FETCH_NEEDED
OP01-048,936,alt,0,0,0,1,0,0,0,0,OP01/alt/OP01-048_alt.png,FETCH_NEEDED
