card_code,printing_id,variant_key,mapped_product_id,market_price,mid_price,low_price,image_path,mapping_confidence,release_set_code,certification_status,failure_reason
OP01-031,864,parallel_1,,,,,OP01/parallel/OP01-031_p1.png,,OP01,MISSING_PRICE_BRIDGE,No printing_market_map row (is_preferred=1)
OP01-032,865,base,359,0.12,0.2,0.03,OP01/base/OP01-032.png,HIGH,OP01,CERTIFIED,
OP01-033,869,alt,,,,,thumbs/OP01-033 (Alt).webp,,OP01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-033,870,alt,,,,,thumbs/OP01-033alt2.webp,,OP01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-033,876,alt,,,,,thumbs/OP01-033(PRB01alt).webp,,OP01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-033,867,base,360,0.33,0.4,0.1,OP01/base/OP01-033.png,HIGH,OP01,CERTIFIED,
OP01-033,871,parallel_1,,,,,TP02/parallel/OP01-033_p1.png,,OP01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-033,872,parallel_3,,,,,PRB01/parallel/OP01-033_p3.png,,PRB01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-033,873,parallel_4,,,,,PRB01/parallel/OP01-033_p4.png,,PRB01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-033,874,parallel_5,,,,,PRB01/parallel/OP01-033_p5.png,,PRB01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-033,875,parallel_6,,,,,_unclassified/parallel/OP01-033_p6.png,,OP01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-033,877,r1,360,0.33,0.4,0.1,OP01/base/OP01-033.png,reprint_share,PRB01,CERTIFIED,
OP01-034,880,alt,,,,,thumbs/OP01-034 (alt).webp,,OP01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-034,878,base,361,0.07,0.15,0.01,OP01/base/OP01-034.png,HIGH,OP01,CERTIFIED,
OP01-034,881,parallel_1,,,,,OP01/parallel/OP01-034_p1.png,,OP01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-035,884,alt,,,,,thumbs/op01-035alt.webp,,OP01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-035,885,alt,,,,,thumbs/OP01-035alt2.webp,,OP01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-035,882,base,362,0.32,0.32,0.14,OP01/base/OP01-035.png,HIGH,OP01,CERTIFIED,
OP01-035,886,parallel_1,,,,,TP04/parallel/OP01-035_p1.png,,OP01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-035,887,parallel_2,,,,,OP07/parallel/OP01-035_p2.png,,OP07,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-035,888,parallel_3,,,,,_unclassified/parallel/OP01-035_p3.png,,OP01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-035,889,sp,,,,,thumbs/OP01-035SP.webp,,OP01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-036,890,base,363,0.08,0.15,0.01,OP01/base/OP01-036.png,HIGH,OP01,CERTIFIED,
OP01-037,892,base,364,0.07,0.15,0.01,OP01/base/OP01-037.png,HIGH,OP01,CERTIFIED,
OP01-038,894,base,365,0.06,0.15,0.01,OP01/base/OP01-038.png,HIGH,OP01,CERTIFIED,
OP01-039,898,alt,,,,,thumbs/OP01-039alt.webp,,OP01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-039,896,base,366,0.28,0.31,0.06,OP01/base/OP01-039.png,HIGH,OP01,CERTIFIED,
OP01-039,899,parallel_1,,,,,PRB02/parallel/OP01-039_p1.png,,PRB02,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-039,900,r1,366,0.28,0.31,0.06,OP01/base/OP01-039.png,reprint_share,PRB02,CERTIFIED,
OP01-040,903,alt,,,,,thumbs/OP01-040 (Alt).webp,,OP01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-040,901,base,318,0.66,0.99,0.15,OP01/base/OP01-040.png,HIGH,OP01,CERTIFIED,
OP01-040,904,parallel_1,,,,,OP01/parallel/OP01-040_p1.png,,OP01,MISSING_PRICE_BRIDGE,No printing_market_map row (is_preferred=1)
OP01-041,907,alt,,,,,thumbs/OP01-041alt.webp,,OP01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-041,912,alt,,,,,thumbs/OP01-041(PRB01alt).webp,,OP01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-041,914,alt,,,,,thumbs/OP01-041Winner alt.webp,,OP01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
